KEY	UK	EN	DE	FR
Narration/&DLC3_Undermountain_6_Crier_CitizenQuarry	Турваамілін замерзає на смерть!	Turvaamalinn is freezing to death!	Turvaamalinn erfriert langsam!	Turvaamalinn is freezing to death!
Narration/&DLC3_Undermountain_7_Crier_CitizenQuarry	Чого вони чекають, щоб відремонтувати систему опалення?	What are they waiting for to fix the heating system?	Worauf warten sie? Wann reparieren sie endlich das Heizsystem?	What are they waiting for to fix the heating system?
Narration/&DLC3_Undermountain_8_Crier_CitizenQuarry	Лід у тунелі сам по собі не розтане!	The ice in the tunnel will not melt by itself!	Das Eis im Tunnel schmilzt nicht von selbst!	The ice in the tunnel will not melt by itself!
Narration/&DLC3_Undermountain_Banter_CitizenBeast_Gilmar	Гляньте, це ж Гілмар!	Hey look, it's Gilmar!	Seht mal, es ist Gilmar!	Hey look, it's Gilmar!
Narration/&DLC3_Undermountain_Banter_CitizenBeasts_Approaching	У кар'єрі є звірі. Вони на нас напали!	There are beasts in the quarry. They attacked us!	Im Steinbruch sind Bestien. Sie haben uns angegriffen!	There are beasts in the quarry. They attacked us!
Narration/&DLC3_Undermountain_Banter_CitizenQuarry_Gilmar	Раді бачити вас знову, Гілмар!	Glad to see you back, Gilmar!	Schön, dass Ihr wieder da seid, Gilmar!	Glad to see you back, Gilmar!
Narration/&DLC3_Undermountain_Banter_CollaspedGallery	Нещастя, галерея обвалилася.	Bad luck, the gallery collapsed.	So ein Pech, der Laufgang ist eingestürzt.	Bad luck, the gallery collapsed.
Narration/&DLC3_Undermountain_Banter_DestructibleCover	Що це? Виглядає нестійким.	What is this? It looks unstable.	Was ist das? Sieht instabil aus.	What is this? It looks unstable.
Narration/&DLC3_Undermountain_Banter_ElevatorNotAvailable_Player	Якщо ви не бажаєте стрибати, ліфт ще недоступний. Повернемося пізніше.	Unless you prefer to jump, the elevator is not yet available. Let's come back later.	Der Aufzug ist noch nicht nutzbar, es sei denn, Ihr wollt springen. Lasst uns später zurückkommen.	Unless you prefer to jump, the elevator is not yet available. Let's come back later.
Narration/&DLC3_Undermountain_Banter_Gilmar_01	Удачі, мої друзі.	Good luck, my friends.	Viel Glück, meine Freunde.	Good luck, my friends.
Narration/&DLC3_Undermountain_Banter_Gilmar_02	Принесіть мені Когтину після того, як знайдете Стража.	Bring me back the Claw once you've found the Guardian.	Bringt die Klaue zu mir zurück, wenn Ihr den Wächter gefunden habt.	Bring me back the Claw once you've found the Guardian.
Narration/&DLC3_Undermountain_Banter_Gilmar_03	О, я розумію! Легенди про дракона були правдивими. Гм, вибачте за незручності, друзі.	Oh, I see! The legends of the dragon were true. Hm, I'm sorry for the trouble, my friends.	Ah, ich verstehe! Die Legenden vom Drachen waren wahr. Hm, entschuldigt die Umstände, Freunde.	Oh, I see! The legends of the dragon were true. Hm, I'm sorry for the trouble, my friends.
Narration/&DLC3_Undermountain_Banter_Guard_Elevator	Якщо у вас немає дозволу, ви не можете зараз потрапити до Нижнього Міста.	Unless you have the authorization, you can't access Low City right now.	Wenn Ihr keine Genehmigung habt, könnt Ihr die Unterstadt gerade nicht betreten.	Unless you have the authorization, you can't access Low City right now.
Narration/&DLC3_Undermountain_Banter_Guard_Welcome	Ласкаво просимо до Турвааміллі.	Welcome to Turvaamalinn.	Willkommen in Turvaamalinn.	Welcome to Turvaamalinn.
Narration/&DLC3_Undermountain_Banter_HeatGeneratorActivated	Це повинно бути добре для теплогенератора. Давайте знайдемо шлях назовні.	That should be good for the heat generator. Let's find a way out of this.	Mit dem Heizgenerator dürften wir fertig sein. Suchen wir einen Weg hier raus.	That should be good for the heat generator. Let's find a way out of this.
Narration/&DLC3_Undermountain_Banter_Kara_01	Я маю бути нейтральним, але мене радує бачити Гілмара нашим новим Кескайненом.	I should be neutral, but it pleases me to see Gilmar as our new Keskainen.	Ich sollte neutral bleiben, aber es freut mich, dass Gilmar unser neuer Keskainen ist.	I should be neutral, but it pleases me to see Gilmar as our new Keskainen.
Narration/&DLC3_Undermountain_Banter_LavaWall_DeadEnd	Цей тунель нікуди не веде. Нам потрібно знайти інший шлях назовні.	This tunnel leads nowhere. We need to find another way out.	Dieser Tunnel führt nirgendwo hin. Wir müssen einen anderen Ausgang finden.	This tunnel leads nowhere. We need to find another way out.
Narration/&DLC3_Undermountain_Banter_LavaWall_Exit	Це вихід, який ми шукали!	This is the exit we've been searching for!	Das ist der Ausgang, den wir gesucht haben!	This is the exit we've been searching for!
Narration/&DLC3_Undermountain_Banter_LavaWall_LavaFlows	Лава повільно розплавляється. Можливо, якщо ми відновимо кожну лавову річку та генератор тепла?	The lava is slowly melting. Maybe if we restore every lava river and the heat generator?	Die Lava schmilzt langsam. Vielleicht können wir alle Lavaflüsse wieder zum Fließen bringen und den Heizgenerator reparieren?	The lava is slowly melting. Maybe if we restore every lava river and the heat generator?
Narration/&DLC3_Undermountain_Banter_LavaWall_Observe	Закріплена лава. Вона повинна розтанути, коли нижче відновлять річку.	Solidified lava. It should melt once the river below is restored.	Verfestigte Lava. Sie sollte schmelzen, sobald der Fluss darunter wieder fließt.	Solidified lava. It should melt once the river below is restored.
Narration/&DLC3_Undermountain_Banter_Puzzle_Hint_01	Ми повинні знайти відповіді в документі, який нам дав охоронець.	We should find answers in the document that the guard gave us.	In dem Dokument, das die Wache uns gab, dürften wir Antworten finden.	We should find answers in the document that the guard gave us.
Narration/&DLC3_Undermountain_Banter_Puzzle_Hint_02	Спробуємо всі встати на плити та повернути механізми у потрібний бік.	Let's all try to get on the slabs and turn the mechanisms in the right direction.	Versuchen wir alle, uns auf die Platten zu stellen und die Mechanismen in die richtige Richtung zu drehen.	Let's all try to get on the slabs and turn the mechanisms in the right direction.
Narration/&DLC3_Undermountain_Banter_SoraksSoldier_Well	Колодязь, мабуть, обвалився на них.	The well must have collapsed on them.	Der Schacht muss über ihnen eingestürzt sein.	The well must have collapsed on them.
Narration/&DLC3_Undermountain_Banter_Soraks_Seal2	Мертвий Сорак? Остерегайтесь…	A dead Sorak? Beware…	Ein toter Sorak? Vorsicht …	A dead Sorak? Beware…
Narration/&DLC3_Undermountain_Banter_TunnelBlocked_Player	Вражливо, тунель повністю заповнений льодом!	Impressive, the tunnel is completely full of ice!	Beeindruckend, der Tunnel ist komplett mit Eis gefüllt!	Impressive, the tunnel is completely full of ice!
Narration/&DLC3_Undermountain_Banter_TunnelMeltDone	Лід розтанув! Цей генератор тепла лави справді потужний!	The ice has melted! This lava heat generator is really powerful!	Das Eis ist geschmolzen! Dieser Lava-Heizgenerator ist echt leistungsfähig!	The ice has melted! This lava heat generator is really powerful!
Narration/&DLC3_Undermountain_Banter_TunnelMeltStart	Починає таїти! Залишилося ще кілька годин.	It's starting to melt! A few more hours to go.	Es beginnt zu schmelzen! Nur noch wenige Stunden.	It's starting to melt! A few more hours to go.
Narration/&DLC3_Undermountain_ChanceMeeting_1_Player_Any	Лісбат? Це ви?	Lisbath? Is that you?	Lisbath? Seid Ihr das?	Lisbath? Is that you?
Narration/&DLC3_Undermountain_ChanceMeeting_2_Lisbath_NPC	Чорт… не можу сказати, чи це добрі новини, чи навпаки.	Damn… can't say if seeing you is good news or the opposite.	Verdammt … Ich weiß gar nicht, ob es gut oder schlecht ist, Euch zu sehen.	Damn… can't say if seeing you is good news or the opposite.
Narration/&DLC3_Undermountain_ChanceMeeting_3_Player_Any	Що ви тут робите?	What you are you doing here?	Was macht Ihr hier?	What you are you doing here?
Narration/&DLC3_Undermountain_ChanceMeeting_4_Lisbath_NPC	Мені задовбують, коли я намагаюся дістати підмогу!	Getting my butt kicked trying to get reinforcements!	Ich versuche, Verstärkung zu bekommen, und kriege dafür die Hucke voll!	Getting my butt kicked trying to get reinforcements!
Narration/&DLC3_Undermountain_ChanceMeeting_5_Player_Any	Підкріплення проти чого?	Reinforcements against what?	Gegen was braucht Ihr Verstärkung?	Reinforcements against what?
Narration/&DLC3_Undermountain_ChanceMeeting_6_Lisbath_NPC	Монстри! Вони збираються перетнути караван Голдентанга!	Monsters, they're about to overrun Goldentongue's caravan!	Monster. Sie sind im Begriff, die Karawane von Goldzunge zu überrennen!	Monsters, they're about to overrun Goldentongue's caravan!
Narration/&DLC3_Undermountain_ChanceMeeting_7_Player_Violent	Рушаймо розігрівати вечірку!	Let's go crash the party!	Da müssen wir mitmischen!	Let's go crash the party!
Narration/&DLC3_Undermountain_ChanceMeeting_8_Lisbath_NPC	Слідуй за мною!	Follow me!	Folgt mir!	Follow me!
Narration/&DLC3_Undermountain_CitizenFog_1_Citizen01	Це замерзає!	It's freezing!	Es ist eiskalt!	It's freezing!
Narration/&DLC3_Undermountain_CitizenFog_2_Citizen02	На що вони чекають, щоб знову увімкнути тепло?	What are they waiting for to turn the heat back on?	Worauf warten sie? Wann schalten sie endlich die Heizung wieder ein?	What are they waiting for to turn the heat back on?
Narration/&DLC3_Undermountain_CitizenFog_3_Citizen01	Я чую щось про цей тунель, але не впевнений…	I've heard something about the tunnel, but I'm not sure…	Ich habe etwas über den Tunnel gehört, aber ich bin nicht sicher …	I've heard something about the tunnel, but I'm not sure…
Narration/&DLC3_Undermountain_Cynical29_Player_Cynical	Ви можете звертатися до мене як до Лорда Дуриків.	You may address me as Lord of Assholes.	Ihr dürft mich Lord der Arschlöcher nennen.	You may address me as Lord of Assholes.
Narration/&DLC3_Undermountain_Cynical30_Player_Authority	Мовчи.	Shut up.	Halt die Klappe.	Shut up.
Narration/&DLC3_Undermountain_GilmarOutside_10_SellswordOrHighestInt_Normal	Можливо, вони цінують свій дім більше, ніж клан, так?	It's possible they value their house more than the clan, yes.	Es wäre möglich, dass ihr Haus ihnen mehr wert ist als der Clan, ja.	It's possible they value their house more than the clan, yes.
Narration/&DLC3_Undermountain_GilmarOutside_11_GilmarGoldentongue_NPC	Забувши про обіцянку клану підтримувати безпечний шлях через гори.	Forgetting the clan's pledge to maintain a safe path through the mountains.	Sie vergessen den Schwur des Clans, für die Sicherheit des Weges durch die Berge zu sorgen.	Forgetting the clan's pledge to maintain a safe path through the mountains.
Narration/&DLC3_Undermountain_GilmarOutside_13_GilmarGoldentongue_NPC	Кескайнен має забезпечити, щоб усі громадяни могли вільно входити та виходити з Турвааміллі.	Keskainen must ensure all citizens can freely flow in and out of Turvaamalinn.	Die Keskainen müssen dafür Sorge tragen, dass alle Bürger Turvaamalinn frei betreten und verlassen können.	Keskainen must ensure all citizens can freely flow in and out of Turvaamalinn.
Narration/&DLC3_Undermountain_GilmarOutside_14_GilmarGoldentongue_NPC	А Перлевіна і Еттівен повинні про це знати!	And Perlevinn and Ettiven ought to know that!	Und Perlevinn und Ettiven sollten das wissen!	And Perlevinn and Ettiven ought to know that!
Narration/&DLC3_Undermountain_GilmarOutside_15_HighestIntorInsight10_Success_Normal	А з наближенням виборів…	And with the election coming up…	Und da die Wahl ansteht …	And with the election coming up…
Narration/&DLC3_Undermountain_GilmarOutside_16_GilmarGoldentongue_NPC	Якщо навіть один виборник не зможе дістатися до урн, вибори буде анульовано!	If just one elector cannot access the ballot boxes, the election is null!	Wenn auch nur ein einziger Wahlmann keinen Zugang zu den Wahlurnen hat, ist die Wahl ungültig!	If just one elector cannot access the ballot boxes, the election is null!
Narration/&DLC3_Undermountain_GilmarOutside_17_GilmarGoldentongue_NPC	У будь-якому разі, можливо, виборці обиратимуть когось з іншого дому…	Anyway, maybe the electors would choose someone from another house…	Aber vielleicht würden die Wahlleute jemanden aus einem anderen Haus wählen …	Anyway, maybe the electors would choose someone from another house…
Narration/&DLC3_Undermountain_GilmarOutside_17b_Player_NPC	Наприклад, дім Голдентанг. Чому б і ні?	Like house Goldentongue. Sure, why not?	Zum Beispiel Haus Goldzunge. Klar, warum nicht?	Like house Goldentongue. Sure, why not?
Narration/&DLC3_Undermountain_GilmarOutside_18b_Gilmar	Якби я коли-небудь пройшов через цей проклятий тунель!	If I can ever pass through this damn tunnel!	Falls ich je durch diesen verdammten Tunnel komme!	If I can ever pass through this damn tunnel!
Narration/&DLC3_Undermountain_GilmarOutside_18c_Player	Ми відремонтували потік лави.	We repaired the lava flow.	Wir haben den Lavafluss repariert.	We repaired the lava flow.
Narration/&DLC3_Undermountain_GilmarOutside_18d_Gilmar	Ага, тому нам потрібно добре вісім-десять годин, щоб лід розтаяв.	Ah, so we need a good eight to ten hours for the ice to melt.	Ah, jetzt dauert es gute acht bis zehn Stunden, bis das Eis schmilzt.	Ah, so we need a good eight to ten hours for the ice to melt.
Narration/&DLC3_Undermountain_GilmarOutside_19_GilmarGoldentongue_NPC	Давайте відпочинемо трохи. Потім ви повинні знайти Кару і повідомити їй, що ви дізналися.	Let's rest a while. Then you should find Kara and tell her what you learned.	Lasst uns eine Weile rasten. Dann solltet Ihr Kara aufsuchen und ihr berichten, was Ihr erfahren habt.	Let's rest a while. Then you should find Kara and tell her what you learned.
Narration/&DLC3_Undermountain_GilmarOutside_1_GilmarGoldentongue_NPC	Відмінний час прибуття!	A timely arrival!	Ihr kommt gerade recht!	A timely arrival!
Narration/&DLC3_Undermountain_GilmarOutside_20_GilmarGoldentongue_NPC	Як регент, вона повинна повідомити виборців, щоб вони могли голосувати з повною відповідальністю.	As regent, she must inform the electors so they can vote in full responsibility.	Als Regentin muss sie die Wahlleute informieren, damit sie eine bewusste Wahl treffen können.	As regent, she must inform the electors so they can vote in full responsibility.
Narration/&DLC3_Undermountain_GilmarOutside_2_SellswordOrHighestInt_Normal	Ми чули, що час на премії!	We heard time was of the essence!	Wir haben gehört, dass die Zeit knapp wird!	We heard time was of the essence!
Narration/&DLC3_Undermountain_GilmarOutside_30_Player_Any	Що з тобою сталося?	What happened to you?	Was ist mit Euch passiert?	What happened to you?
Narration/&DLC3_Undermountain_GilmarOutside_31_Gilmar_NPC	Гірські жахи атакували саме тоді, коли ми прибули!	The Peak Terrors, they attacked just as we arrived!	Die Gipfelschrecken haben uns angegriffen, als wir hier ankamen!	The Peak Terrors, they attacked just as we arrived!
Narration/&DLC3_Undermountain_GilmarOutside_32_Gilmar_NPC	Вони спровокували лавину, яка змила частину мосту…	They caused an avalanche that washed away part of the bridge…	Sie haben eine Lawine ausgelöst, die einen Teil der Brücke weggespült hat …	They caused an avalanche that washed away part of the bridge…
Narration/&DLC3_Undermountain_GilmarOutside_33_Gilmar_NPC	…і багато наших людей.	…and many of our people.	… und viele unserer Leute.	…and many of our people.
Narration/&DLC3_Undermountain_GilmarOutside_34_Gilmar_NPC	Ми спробували потрапити до міста, але через закритий тунель…	We tried to enter the city, but with the tunnel blocked…	Wir haben versucht, in die Stadt zu gelangen, aber da der Tunnel blockiert ist …	We tried to enter the city, but with the tunnel blocked…
Narration/&DLC3_Undermountain_GilmarOutside_35_Gilmar_NPC	…ми були змушені шукати притулку тут, а потім монстри нас знайшли.	…we had to take refuge here, and then the monsters found us.	… mussten wir hier Zuflucht suchen, und dann haben die Monster uns gefunden.	…we had to take refuge here, and then the monsters found us.
Narration/&DLC3_Undermountain_GilmarOutside_36_Player_Any	Ну, тепер ти в безпеці.	Well, you're safe now.	Nun, Ihr seid jetzt in Sicherheit.	Well, you're safe now.
Narration/&DLC3_Undermountain_GilmarOutside_3_GilmarGoldentongue_NPC	Лісбат врятувалася, як я зрозумів?	Lisbath made it, I gather?	Lisbath hat es also geschafft?	Lisbath made it, I gather?
Narration/&DLC3_Undermountain_GilmarOutside_4_SellswordOrHighestInt_Normal	Так, випадково ми старі друзі.	Yes, as it happens, we're old friends.	Ja, zufälligerweise sind wir alte Freunde.	Yes, as it happens, we're old friends.
Narration/&DLC3_Undermountain_GilmarOutside_5_GilmarGoldentongue_NPC	Від імені моєї нації, велике дякую!	In the name of my people, many thanks!	Ich danke Euch vielmals im Namen meines Volkes!	In the name of my people, many thanks!
Narration/&DLC3_Undermountain_GilmarOutside_6_SellswordOrHighestInt_Normal	Наша приємність!	Our pleasure!	Es war uns ein Vergnügen!	Our pleasure!
Narration/&DLC3_Undermountain_GilmarOutside_7_GilmarGoldentongue_NPC	Дядько Галар був правий щодо вашої сили! Але що ви тут робите?	Uncle Galar was right about your strength! But what are you doing here?	Onkel Galar hatte recht, was Eure Stärke angeht. Aber was macht Ihr hier?	Uncle Galar was right about your strength! But what are you doing here?
Narration/&DLC3_Undermountain_GilmarOutside_8_SellswordOrHighestInt_Normal	Ми просто допомагаємо клану, там є проблеми.	We're just helping the clan, there's trouble in there.	Wir helfen nur dem Clan, dort drinnen gibt es Ärger.	We're just helping the clan, there's trouble in there.
Narration/&DLC3_Undermountain_GilmarOutside_9_GilmarGoldentongue_NPC	Га! Скажіть: Перлевіна і Еттівен продовжують вагатися.	Hah! Say it: Perlevinn and Ettiven keep dithering.	Ha! Sprecht es ruhig aus: Perlevinn und Ettiven zaudern immer noch.	Hah! Say it: Perlevinn and Ettiven keep dithering.
Narration/&DLC3_Undermountain_HighCityFinal_10a_DiplomatOrSpyOrElse_Normal	Еттівен проникли Сораки…	Ettiven has been infiltrated by Soraks…	Ettiven wurde durch die Soraks infiltriert …	Ettiven has been infiltrated by Soraks…
Narration/&DLC3_Undermountain_HighCityFinal_10a_written_DiplomatOrSpyOrElse_Normal	Еттівен і Сораки	Ettiven and the Soraks	Ettiven und die Soraks	Ettiven and the Soraks
Narration/&DLC3_Undermountain_HighCityFinal_10b_DiplomatOrSpyOrElse_Normal	Перлевіна побудувала прихований теплогенератор…	Perlevinn built a clandestine heat generator…	Perlevinn hat im Geheimen einen Heizgenerator gebaut …	Perlevinn built a clandestine heat generator…
Narration/&DLC3_Undermountain_HighCityFinal_10b_written_DiplomatOrSpyOrElse_Normal	Перлевіни та генератор тепла	Perlevinn and the Heat Generator	Perlevinn und der Heizgenerator	Perlevinn and the Heat Generator
Narration/&DLC3_Undermountain_HighCityFinal_10c_DiplomatOrSpyOrElse_Normal	Ні Перлевін, ні Еттівен не займалися обслуговуванням тунелю…	Neither Perlevinn nor Ettiven took charge of the tunnel's maintenance…	Weder Perlevinn noch Ettiven haben sich um die Instandhaltung des Tunnels gekümmert …	Neither Perlevinn nor Ettiven took charge of the tunnel's maintenance…
Narration/&DLC3_Undermountain_HighCityFinal_10c_written_DiplomatOrSpyOrElse_Normal	Збої у підтримці тунелю	Tunnel Maintenance Failure	Misserfolg bei der Tunnelinstandhaltung	Tunnel Maintenance Failure
Narration/&DLC3_Undermountain_HighCityFinal_10d_DiplomatOrSpyOrElse_Normal	Перлевіни домовилися з місцевими розбійниками про блокаду кар’єру та звинуватили дім Еттівенів…	Perlevinn agreed with local brigands to block the quarry and blame house Ettiven…	Perlevinn vereinbarte mit Banditen aus der Region, den Steinbruch zu blockieren und die Schuld Haus Ettiven zuzuschieben …	Perlevinn agreed with local brigands to block the quarry and blame house Ettiven…
Narration/&DLC3_Undermountain_HighCityFinal_10d_written_DiplomatOrSpyOrElse_Normal	Перлевіни та розбійники	Perlevinn and the Brigands	Perlevinn und die Banditen	Perlevinn and the Brigands
Narration/&DLC3_Undermountain_HighCityFinal_10e_DiplomatOrSpyOrElse_Normal	Ми сказали все, що хотіли.	We've said all we had to say.	Wir haben alles gesagt, was wir zu sagen hatten.	We've said all we had to say.
Narration/&DLC3_Undermountain_HighCityFinal_10e_written_DiplomatOrSpyOrElse_Normal	Нічого додати	Nothing to add	Nichts hinzuzufügen	Nothing to add
Narration/&DLC3_Undermountain_HighCityFinal_11a_DiplomatOrSpyOrElse_Normal	…але не хотіли зіткнутися з правдою.	…and yet didn't want to face the truth.	… und wollte der Wahrheit dennoch nicht ins Auge blicken.	…and yet didn't want to face the truth.
Narration/&DLC3_Undermountain_HighCityFinal_11b_Brodir	Незвичайно!	Outrageous!	Unverschämt!	Outrageous!
Narration/&DLC3_Undermountain_HighCityFinal_11b_DiplomatOrSpyOrElse_Normal	…щоб зберегти свій сад, ігноруючи свій обов'язок перед кланом.	…to preserve their garden, disregarding their duty to the clan.	… um ihren Garten zu erhalten. Ihre Pflicht gegenüber dem Clan haben sie dabei ignoriert.	…to preserve their garden, disregarding their duty to the clan.
Narration/&DLC3_Undermountain_HighCityFinal_11c_DiplomatOrSpyOrElse_Normal	…таким чином порушуючи обіцянку Кескайнена…	…thus breaking the pledge of Keskainen…	… und damit den Schwur der Keskainen gebrochen …	…thus breaking the pledge of Keskainen…
Narration/&DLC3_Undermountain_HighCityFinal_11d_DiplomatOrSpyOrElse_Normal	…за рахунок робітників у Нижньому Місті…	…at the expense of the workers in the Low City…	… auf Kosten der Arbeiter in der Unterstadt …	…at the expense of the workers in the Low City…
Narration/&DLC3_Undermountain_HighCityFinal_12a_DiplomatOrSpyOrElse_Normal	Вони вірять лише у прибуток.	They only believe in profit.	Sie glauben nur an den Profit.	They only believe in profit.
Narration/&DLC3_Undermountain_HighCityFinal_12a_Valdi	Невірно!	Preposterous!	Absurd!	Preposterous!
Narration/&DLC3_Undermountain_HighCityFinal_12c_DiplomatOrSpyOrElse_Normal	… і спричинили смерть багатьох солдатів Голдтенга в нападі на каравану.	…and causing the death many of Goldentongue's soldiers in the caravan's attack.	… und den Tod vieler Goldzunge-Soldaten beim Angriff auf die Karawane verursacht.	…and causing the death many of Goldentongue's soldiers in the caravan's attack.
Narration/&DLC3_Undermountain_HighCityFinal_12c_Gilmar	Абсолютно правильно.	Damn right.	Verdammt richtig.	Damn right.
Narration/&DLC3_Undermountain_HighCityFinal_12d_DiplomatOrSpyOrElse_Normal	… яких тероризували та вбивали у сутичках.	…who were terrorized and killed in skirmishes.	… die terrorisiert und in Scharmützeln getötet wurden.	…who were terrorized and killed in skirmishes.
Narration/&DLC3_Undermountain_HighCityFinal_12d_Valdi	Ганьба!	Shame!	Eine Schande!	Shame!
Narration/&DLC3_Undermountain_HighCityFinal_18a_KaraWise_Head_NPC	Дуже дякую за ваше свідчення! Хай сова охоронятиме вас!	Many thanks for your testimony! May the owl watch over you!	Vielen Dank für Eure Aussage! Möge die Eule über Euch wachen!	Many thanks for your testimony! May the owl watch over you!
Narration/&DLC3_Undermountain_HighCityFinal_18b_KaraWise_Head_NPC	Настало час для Кескайнен Вартмеркін обрати вождя…	It is time for the Keskainen Vartmerkint to elect a chief…	Es ist an der Zeit, dass die Keskainen Vartmerkint ein Oberhaupt wählen …	It is time for the Keskainen Vartmerkint to elect a chief…
Narration/&DLC3_Undermountain_HighCityFinal_19_KaraWise_Head_NPC	…хто виконуватиме обов'язок призначити Голову Пакту Когти.	…who will carry out the duty to name a Speaker for the Pact of the Claw.	… das seiner Pflicht nachkommt und einen Sprecher für den Pakt der Klaue ernennt.	…who will carry out the duty to name a Speaker for the Pact of the Claw.
Narration/&DLC3_Undermountain_HighCityFinal_1_KaraWise_Head_NPC	Мої друзі! Я чула про ваші великі вчинки.	My friends! I heard of your great deeds.	Meine Freunde! Ich habe von Euren großen Taten gehört.	My friends! I heard of your great deeds.
Narration/&DLC3_Undermountain_HighCityFinal_20_KaraWise_Head_NPC	Отже, я шанобливо прошу наших почесних друзів…	Therefore, I respectfully ask our honorable friends…	Deshalb bitte ich unsere ehrenwerten Freunde …	Therefore, I respectfully ask our honorable friends…
Narration/&DLC3_Undermountain_HighCityFinal_21_KaraWise_Head_NPC	…Герої Розколу…	…the Heroes of the Rift…	… die Helden des Risses …	…the Heroes of the Rift…
Narration/&DLC3_Undermountain_HighCityFinal_22_KaraWise_Head_NPC	… щоб залишити нас до завершення виборів.	…to leave us until the election is over.	… höflichst, uns zu verlassen, bis die Wahl vorbei ist.	…to leave us until the election is over.
Narration/&DLC3_Undermountain_HighCityFinal_2_DiplomatOrSpyOrElse_Formal	Ну, ми зробили все можливе, щоб зробити вибори можливими.	Well, we did our best to make the election possible.	Nun, wir haben unser Bestes getan, um die Wahl zu ermöglichen.	Well, we did our best to make the election possible.
Narration/&DLC3_Undermountain_HighCityFinal_3_KaraWise_Head_NPC	Останні відсутні виборці входять через тунель саме зараз.	The last missing electors are entering through the tunnel as we speak.	Die letzten fehlenden Wahlleute kommen gerade in diesem Moment durch den Tunnel.	The last missing electors are entering through the tunnel as we speak.
Narration/&DLC3_Undermountain_HighCityFinal_3b_KaraWise_Head_NPC	Як тільки кворум буде повний, я закличу їх проголосувати та обрати нового голови для клану Кескайнен.	As soon as the quorum is complete, I shall call upon them to vote and elect a new head for Clan Keskainen.	Sobald das Quorum vollständig ist, werde ich sie auffordern, abzustimmen und ein neues Oberhaupt für Clan Keskainen zu wählen.	As soon as the quorum is complete, I shall call upon them to vote and elect a new head for Clan Keskainen.
Narration/&DLC3_Undermountain_HighCityFinal_4_KaraWise_Head_NPC	Кандидати — Бродір Стальне Серце з дому Перлевіна, Валді Сильна Рука з дому Еттівена…	The candidates are Brodir Steelheart of House Perlevinn, Valdi Boldhand of House Ettiven…	Die Kandidaten sind Brodir Stahlherz vom Haus Perlevinn, Valdo Kühnhand vom Haus Ettiven …	The candidates are Brodir Steelheart of House Perlevinn, Valdi Boldhand of House Ettiven…
Narration/&DLC3_Undermountain_HighCityFinal_4a_KaraWise_Head_NPC	…і Гілмар Голдентонг із дому Голдентонг.	…and Gilmar Goldentongue, of House Goldentongue.	… und Gilmar Goldzunge vom Haus Goldzunge.	…and Gilmar Goldentongue, of House Goldentongue.
Narration/&DLC3_Undermountain_HighCityFinal_4b_KaraWise_Head_NPC	Тепер, оскільки ви були свідками недавніх неприємностей…	Now, since you were witnesses during the recent unpleasantness…	Da Ihr Zeugen der jüngsten Unannehmlichkeiten wart …	Now, since you were witnesses during the recent unpleasantness…
Narration/&DLC3_Undermountain_HighCityFinal_5_DiplomatOrSpyOrElse_Formal	Це дуже тактично висловлено.	A nice way to put it.	Das ist noch milde ausgedrückt.	A nice way to put it.
Narration/&DLC3_Undermountain_HighCityFinal_6_KaraWise_Head_NPC	Я хотів би почути, що ви можете сказати про тих, хто претендує на лідерство в нашому клані.	I would like to hear what you have to say about those who claim to lead our clan.	Ich möchte hören, was Ihr über jene zu sagen habt, die unseren Clan anführen wollen.	I would like to hear what you have to say about those who claim to lead our clan.
Narration/&DLC3_Undermountain_HighCityFinal_7_DiplomatOrSpyOrElse_Normal	Ваш народ буде голосувати, а не ми.	Your people will vote, not us.	Euer Volk wird abstimmen, nicht wir.	Your people will vote, not us.
Narration/&DLC3_Undermountain_HighCityFinal_8_KaraWise_Head_NPC	Це мій обов'язок — повідомити виборців про правду під наглядом Пакрі.	It is my duty to inform the electors of the truth, under Pakri's watch.	Es ist meine Pflicht, den Wahlleuten unter Pakris Aufsicht die Wahrheit zu sagen.	It is my duty to inform the electors of the truth, under Pakri's watch.
Narration/&DLC3_Undermountain_Informant_1_Informant_NPC	Я Бера Гордогуб.	I'm Bera Proudnose.	I'm Bera Proudnose.	I'm Bera Proudnose.
Narration/&DLC3_Undermountain_Informant_2_Informant_NPC	Я керую обслуговуванням ліфта колодязя… або його руйнуванням, здається…	I manage the maintenance of the well's elevator… or its destruction, apparently…	I manage the maintenance of the well's elevator… or its destruction, apparently…	I manage the maintenance of the well's elevator… or its destruction, apparently…
Narration/&DLC3_Undermountain_Informant_3_Informant_NPC	Ви маєте на увазі крім того, що Еттівен наказав знищити проклятий ліфт? Ні, все добре.	You mean besides Ettiven ordering the destruction of the damn elevator? No, it's all fine.	You mean besides Ettiven ordering the destruction of the damn elevator? No, it's all fine.	You mean besides Ettiven ordering the destruction of the damn elevator? No, it's all fine.
Narration/&DLC3_Undermountain_Informant_4_Informant_NPC	Ну, Бергільд, наша Культаякар, вона була дуже жахливою недавно. Я маю на увазі більше, ніж зазвичай.	Well, Berghild, our Kultajakar, she's been quite horrible recently. I mean more than usual.	Well, Berghild, our Kultajakar, she's been quite horrible recently. I mean more than usual.	Well, Berghild, our Kultajakar, she's been quite horrible recently. I mean more than usual.
