MainMenu/&StartingLevelRange	{0}-{1}
Quest/&Quest_Background_Spy_Reconnect to your networkTitle	Пійдіть до посольства Галлівана
Quest/&Quest_Background_Spy_Title	Тінь минулого
Quest/&Scavengers_Henrik_Quest_Title	Доставте повідомлення мародерів
Quest/&Telema_SecondaryQuest_OpenDoorDescription	Ви знайшли стару магічну двері, які здаються неможливо відкрити. Знайдіть ключ, який їх відчиняє, в руїнах Телеми.
Quest/&Telema_SecondaryQuest_OpenDoorOutcome	У Гектора був старий імперський ключ, який міг би відкрити чарівну двері. Спробуй!
Quest/&Telema_SecondaryQuest_OpenDoorTitle	Відкрий чарівні двері
Quest/&Telema_SecondaryQuest_Title	Чарівні двері
Quest/&Telema_SecondaryQuest_UseKey_Outcome1Description	Ви відкрили давню бібліотеку і знайшли цінну інформацію про Імперію Манакалон.
Quest/&Telema_SecondaryQuest_UseKeyDescription	У Гектора є старий імперський ключ, який може відкрити чарівні двері. Поверніться до входу в руїни та спробуйте!
Quest/&Telema_SecondaryQuest_UseKeyTitle	Повернутися до дверей
Quest/&TelemaLevel_Quest_CheckRoomTitle	Перевірте табір орків
Quest/&TelemaLevel_Quest_ClimbDown_Outcome1Description	Ви відкрили нову територію, але все ще немає слідів Гектора.
Quest/&TelemaLevel_Quest_ClimbDownDescription	Знайдіть спосіб спуститися по руїнам, поки не знайдете сліди Гектора.
Quest/&TelemaLevel_Quest_ClimbDownTitle	Спуститися в печери
Quest/&TelemaLevel_Quest_ClimbUp_Outcome1Description	У вас не вистачило часу, щоб дістатися до вершини амфітеатру. На вас напали глибинні павуки.
Quest/&TelemaLevel_Quest_ClimbUpDescription	Ви опинилися на дні старого імперського амфітеатру. Знайдіть спосіб піднятися вгору і вийти. Використовуйте світло проти глибинних павуків, які можуть тут блукати.
Quest/&TelemaLevel_Quest_ClimbUpTitle	Піднятися на амфітеатр
Quest/&TelemaLevel_Quest_Collapse_Outcome1Description	Ви досягли вершини амфітеатру і спровокували обвал, який розчистив шлях до павучих гнізд.
Quest/&TelemaLevel_Quest_CollapseDescription	На вас нападають безліч глибинних павуків! Тримайте їх на відстані за допомогою світла і біжте якомога швидше до виходу з кімнати. Не забудьте зібрати всю свою групу там!
Quest/&TelemaLevel_Quest_CollapseTitle	Втекти від павуків
Quest/&TelemaLevel_Quest_DealWithOrcs_Outcome1Description	Ви не знайшли Гектора в оркському таборі.
Quest/&TelemaLevel_Quest_DealWithOrcsDescription	Це оркський табір, про який попередили Збирачі. Розвідайте його і дізнайтеся, чи є там Гектор. Включіть для всіх членів загону режим крадькома, щоб уникнути виявлення, поки ви над орками.
Quest/&TelemaLevel_Quest_DealWithOrcsTitle	Розвідати табір орків
Quest/&TelemaLevel_Quest_Enter_Outcome1Description	Ви увійшли в руїни Телеми, але здається, що орки просунулися набагато глибше за місце викопувань.
Quest/&TelemaLevel_Quest_EnterDescription	Лена і Дек підтвердили, що інший мародер, Гектор, був захоплений живим орками під час їх набігу. Вони перемістили його всередину старого храму. Знайдіть Гектора та поверніть його назад. Не забувайте оснащуватися факелами або накладати закляття Світло там.
Quest/&TelemaLevel_Quest_EnterTitle	Ввійти до руїн
Quest/&TelemaLevel_Quest_ExploreFurther_Outcome1Description	Руїни більші, ніж ви думали. Вони простягаються навіть глибше орківського табору.
Quest/&TelemaLevel_Quest_ExploreFurtherDescription	Досліджуйте руїни Телеми далі. Можливо, Гектора відвели ще глибше.
Quest/&TelemaLevel_Quest_ExploreFurtherTitle	Дослідити далі
Quest/&TelemaLevel_Quest_FightDescription	Гектор тебе обманув! Його орки чекали. Ти повинен битися за своє життя!
Quest/&TelemaLevel_Quest_FightOutcome	Ти вижив після засідки орків і захистив Лену та Дека. Фальшивий Гектор насправді був перетвореним Сорр-Аккатом. Його особисті речі розкрили долю справжнього Гектора.
Quest/&TelemaLevel_Quest_FightTitle	Вижити під час засади
Quest/&TelemaLevel_Quest_FindExit_Outcome1Description	Ви знайшли шлях назад до входу у храм Телеми!
Quest/&TelemaLevel_Quest_FindExitDescription	Знайдіть вихід з цього лабіринту руїн і поверніться з Гектором живим.
Quest/&TelemaLevel_Quest_FindExitTitle	Знайти вихід
Quest/&TelemaLevel_Quest_FindOrcs_Outcome1Description	Ви знайшли підземне сховище орків. Можливо, саме там вони тримають Гектора.
Quest/&TelemaLevel_Quest_FindOrcsDescription	Слідуйте за прапорами орків і знайдіть Гектора, або витратьте час на дослідження вхідної зони на власний ризик!
Quest/&TelemaLevel_Quest_FindOrcsTitle	Знайти табір орків
Quest/&TelemaLevel_Quest_FindScavs_Outcome1Description	Ви досягли руїн Телеми і поговорили з Леною та Деком, вижившими розбійниками загону Руннела.
Quest/&TelemaLevel_Quest_FindScavsDescription	Вас попросив розбійник Руннел піти до руїн Телеми, щоб допомогти його друзям, яких атакували орки. Ви завдячуєте їхньому босові, тому ви погодилися на цю роботу.
Quest/&TelemaLevel_Quest_FindScavsTitle	Знайти мародерів
Quest/&TelemaLevel_Quest_Rest_Outcome1Description	Ви відпочили і зараз готові шукати вихід.
Quest/&TelemaLevel_Quest_RestDescription	Ви знайшли Гектора живим! Це гарний час, щоб взяти довгий відпочинок, щоб ви і Гектор могли зібратися з силами перед завершенням вашої подорожі.
Quest/&TelemaLevel_Quest_RestTitle	Відпочити
Quest/&TelemaLevel_Quest_ReturnDescription	Повернись до Каер Квіфлена і розкажи Енні, що сталося в Телемі.
Quest/&TelemaLevel_Quest_ReturnOutcome	Ти повідомив(ла) Енні новини. Вона подякувала тобі за те, що ти розкрив(ла) долю Гектора, і за порятунок Лени та Дека.
Quest/&TelemaLevel_Quest_ReturnTitle	Звітувати Енні
Quest/&TelemaLevel_Quest_ReturnToScavs_Outcome1Description	Ви врятували Гектора, або хто б це не був цей чоловік.
Quest/&TelemaLevel_Quest_ReturnToScavsDescription	Провідьте Гектора до його друзів біля храму.
Quest/&TelemaLevel_Quest_ReturnToScavsTitle	Повернутися до збирачів
Quest/&TelemaLevel_Title	У темряву
Quest/&Tirmarian_Tower_Quest_GetStuff_Outcome1Description	Ви це зробили!
Quest/&Tirmarian_Tower_Quest_GetStuffDescription	Це потрібно перевірити, якщо ви володієте коштовним каменем.
Quest/&Tirmarian_Tower_Quest_GetStuffTitle	Отримайте коштовний камінь з кошика
Quest/&Tower_Of_Magic_Quest_01_Arriving_Outcome1Description	Перевірте, чи потрібно це або ні
Quest/&Tower_Of_Magic_Quest_01_ArrivingDescription	Перевірте, чи потрібно це або ні
Quest/&Tower_Of_Magic_Quest_01_ArrivingTitle	Перевірте, чи потрібно це або ні
Quest/&Tower_Of_Magic_Quest_01_TalkToWorkers_Outcome1Description	Робітники напали на вас без попередження! Ці фанатики можуть бути пов'язані з якимсь культом, як це припускають їхні татуювання у формі літери А.
Quest/&Tower_Of_Magic_Quest_01_TalkToWorkersDescription	Ви досягли таємничої вежі. Робітники стабілізують тунель під нею. Дізнайтеся, хто вони такі, що робить і чи пов'язані з діяльністю Сораків.
Quest/&Tower_Of_Magic_Quest_01_TalkToWorkersTitle	Дізнайтеся, що роблять робітники
Quest/&Tower_Of_Magic_Quest_02_ExporeDeeper_Outcome1Description	Ви увійшли на розкопки і знайшли одного людини, який був готові говорити, незважаючи на страх. Він явно перебував під якимсь зловісним впливом.
Quest/&Tower_Of_Magic_Quest_02_ExporeDeeperDescription	Тут явно щось не так. Спустися в розкопки — і будь готовим до чого завгодно!
Quest/&Tower_Of_Magic_Quest_02_ExporeDeeperTitle	Ввійти на місце розкопок
Quest/&Tower_Of_Magic_Quest_03_a_OpenDoor_Outcome1Description	Ти виявив, що двері зачаровані. У тебе немає способу їх відкрити.
Quest/&Tower_Of_Magic_Quest_03_a_OpenDoor_Outcome2Description	Ви зрозуміли, що не потрібно відкривати чарівно запечатені двері, оскільки дивний кімната дозволила вам дістатися того самого місця призначення.
Quest/&Tower_Of_Magic_Quest_03_a_OpenDoorDescription	Робітник, якого ви зустріли, стояв біля дверей, які можуть вести до чогось важливого. Перевірте, що знаходиться за ними.
Quest/&Tower_Of_Magic_Quest_03_a_OpenDoorTitle	Відкрийте двері
Quest/&Tower_Of_Magic_Quest_03b_ExploreDeeper_Outcome1Description	Досліджуючи далі, ви знайшли велику бібліотеку, яку порушив якийсь дивний магічний феномен.
Quest/&Tower_Of_Magic_Quest_03b_ExploreDeeperDescription	Робітники зробили багато зусиль, щоб потрапити в цей руїнований вежів. Дізнайтеся, наскільки далеко вони дісталися.
Quest/&Tower_Of_Magic_Quest_03b_ExploreDeeperTitle	Продовжити дослідження
Quest/&Tower_Of_Magic_Quest_04_CheckExit_Outcome1Description	Ви слідували за факелами до вихідного дверей, яке, здавалося, активувалося магічною кулею, але… воно не працювало.
Quest/&Tower_Of_Magic_Quest_04_CheckExit_Outcome2Description	Ви не слідували за факелами і досліджували кімнату.
Quest/&Tower_Of_Magic_Quest_04_CheckExitDescription	Магічні факели запалюються, коли ви наближаєтеся. Слідуйте за ними і дізнайтеся, що це таке.
Quest/&Tower_Of_Magic_Quest_04_CheckExitTitle	Слідуй за світлом
Quest/&Tower_Of_Magic_Quest_05_FindAWayToOpen_Outcome1Description	Ви потрапили на дивне місце в центрі бібліотеки і побачили магічні руни на підлозі.
Quest/&Tower_Of_Magic_Quest_05_FindAWayToOpenDescription	Ви потрапили до величезних дверей у цій дивній кімнаті, але магічна сферична система, яка їх відкриває, здається, не працює. Огляньте кімнату і знайдіть спосіб відкрити двері.
Quest/&Tower_Of_Magic_Quest_05_FindAWayToOpenTitle	Знайди спосіб відкрити двері
Quest/&Tower_Of_Magic_Quest_06_ExploreAgain_Outcome1Description	Ви знайшли місце, де ховалися Сораки!
Quest/&Tower_Of_Magic_Quest_06_ExploreAgainDescription	Ви вийшли з дивної бібліотеки. Продовжуйте дослідження — Сораки не можуть бути далеко!
Quest/&Tower_Of_Magic_Quest_06_ExploreAgainTitle	Вихід з бібліотеки
Quest/&Tower_Of_Magic_Quest_07_KillSoraks_Outcome1Description	Ви перемогли Сораксів! У вас є доказ, але що це за артефакт, який вони охороняли?
Quest/&Tower_Of_Magic_Quest_07_KillSoraksDescription	Ви знайшли Сораксів! Переможіть їх і принесіть одну з їхніх голів як доказ для Ради.
Quest/&Tower_Of_Magic_Quest_07_KillSoraksTitle	Вбити Сораків
Quest/&Tower_Of_Magic_Quest_07_TakeCrown_Outcome1Description	Ви взяли Корону, яку охороняли Сораки.
Quest/&Tower_Of_Magic_Quest_07_TakeCrownDescription	Сораки щось охороняли. Огляньте артефакт.
Quest/&Tower_Of_Magic_Quest_07_TakeCrownTitle	Заволодіти артефактом
Quest/&Tower_Of_Magic_Quest_08_BringCrownBack_Outcome1Description	Ви безпечно повернулися до Каер-Кіфлена з Короною.
Quest/&Tower_Of_Magic_Quest_08_BringCrownBackDescription	Ви завершили своє завдання. Сораки справжні, і у вас є докази. Крім того, ви заволоділи тим, що вони хотіли захистити. Віднесіть Корону Раді для дослідження.
Quest/&Tower_Of_Magic_Quest_08_BringCrownBackTitle	Поверни корону
Quest/&Tower_Of_Magic_Quest_Title	Дослідити руїни вежі
Quest/&Tower_Of_Magic_Sub_Quest_CollectInfo_Outcome1Description	Ви почали пошук інформації про вежу.
Quest/&Tower_Of_Magic_Sub_Quest_CollectInfoDescription	Цей руїнований вежев міг бути джерелом інформації про еру Манакалона.
Quest/&Tower_Of_Magic_Sub_Quest_CollectInfoTitle	Зібрати інформацію
Quest/&Tower_Of_Magic_Sub_Quest_Info1_Outcome1Description	Ви дослідили статую ельфійської жінки, можливо, власниці вежі.
Quest/&Tower_Of_Magic_Sub_Quest_Info1_Outcome2Description	Ви дослідили статую ельфійської жінки, але не змогли її ідентифікувати.
Quest/&Tower_Of_Magic_Sub_Quest_Info1Description	Знайдіть підказку про можливого власника вежі.
Quest/&Tower_Of_Magic_Sub_Quest_Info1Title	Знайдіть першу підказку
Quest/&Tower_Of_Magic_Sub_Quest_Info2_Outcome2Description	Ви знайшли давнє заклинник. Це міг бути вежа магії, де навчали учнів-чарівників.
Quest/&Tower_Of_Magic_Sub_Quest_Info2Description	Знайдіть підказку про призначення вежі в еру Манакалона.
Quest/&Tower_Of_Magic_Sub_Quest_Info2Title	Знайдіть другу підказку
Quest/&Tower_Of_Magic_Sub_Quest_Info3_Outcome2Description	Ви знайшли статую рептилії, можливо, якогось Сорака.
Quest/&Tower_Of_Magic_Sub_Quest_Info3_Outcome3Description	Ви знайшли статую рептилоїда або навіть драконоподібного гуманоїда невідомого виду.
Quest/&Tower_Of_Magic_Sub_Quest_Info3Description	Знайдіть будь-яку дивність, яка може відрізняти цю вежу від інших у Пустках.
Quest/&Tower_Of_Magic_Sub_Quest_Info3Title	Знайти третю підказку
Quest/&Tower_Of_Magic_Sub_Quest_Info4_Outcome2Description	Ви знайшли статую важливо виглядаючого ельфа.
Quest/&Tower_Of_Magic_Sub_Quest_Info4_Outcome4Description	Ви знайшли статую імператора Манакалона, який правив у часи Катаклізму.
Quest/&Tower_Of_Magic_Sub_Quest_Info4Description	Знайдіть будь-яку інформацію, яка могла б вказати на те, коли цю вежу використовували.
Quest/&Tower_Of_Magic_Sub_Quest_Info4Title	Знайдіть четверту підказку
Quest/&Tower_Of_Magic_Sub_QuestTitle	Пошук інформації
Quest/&TravelQuest_Step1_Outcome1Description	Ви увійшли на карту світу
Quest/&TravelQuest_Step1Description	Увійдіть на карту світу
Quest/&TravelQuest_Step1Title	Перша подорож
Quest/&TravelQuest_Step2_Outcome1Description	Ви досягли Каер Лема
Quest/&TravelQuest_Step2Description	Подорожуйте до Каер Лема
Quest/&TravelQuest_Step2Title	Досягти Каер Лема
Quest/&TravelQuestTitle	Квест подорожі
Quest/&Tutorial_01_Quest_Escape the call_Outcome1Description	Ви знайшли слабке місце в стіні і втекли!
Quest/&Tutorial_01_Quest_Escape the callDescription	Повинен бути вихід з цієї зруйнованої в'язниці. Бандити залишили вас у зруйнованій камері… десь у одній із камер повинна бути слабка стіна або отвір.
Quest/&Tutorial_01_Quest_Escape the callTitle	Знайти шлях назовні
Quest/&Tutorial_01_Quest_Open the door_Outcome1Description	Ти втік!
Quest/&Tutorial_01_Quest_Open the doorDescription	Ти переміг розбійників! Тепер відкрий двері та біжи!
Quest/&Tutorial_01_Quest_Open the doorTitle	Відкрий двері
Quest/&Tutorial_01_Quest_Push the column_Outcome1Description	Ти це зробив… розбійників придавило стіною! Спустися вниз, підбери своє конфісковане спорядження і покинь в'язницю!
Quest/&Tutorial_01_Quest_Push the column_Outcome2Description	Розбійники знову захопили тебе!
Quest/&Tutorial_01_Quest_Push the columnDescription	Потрихни нестійку стіну на бандитів!
Quest/&Tutorial_01_Quest_Push the columnTitle	Звільнись від бандитів!
Quest/&Tutorial_01_Quest_QuestLog_Description	Це твій журнал квестів. Коли квест оновлюється, відкрий цю панель, щоб дізнатися, що потрібно зробити.
Quest/&Tutorial_01_Quest_QuestLog_Title	Відкрий журнал квестів
Quest/&Tutorial_01_Quest_Reach the high ground_Outcome1Description	Ти досягнув високого місця над розбійниками, які захопили тебе.
Quest/&Tutorial_01_Quest_Reach the high groundDescription	Знайди шлях вгору і з печери.
Quest/&Tutorial_01_Quest_Reach the high groundTitle	Покинути печеру
Quest/&Tutorial_01_Quest_Take Your Stuff_Outcome1Description	Ви відновили всі свої речі.
Quest/&Tutorial_01_Quest_Take Your StuffDescription	Розбійники сховали ваше спорядження у сундук біля виходу. Заберіть його назад!
Quest/&Tutorial_01_Quest_Take Your StuffTitle	Відновити свій інвентар із скрині
Quest/&Tutorial_01_Title	Втекти з в'язниці розбійників
Quest/&Tutorial_02_2_Title	Вилікувати себе
Quest/&Tutorial_02_Quest_Cautious_Outcome1Description	Ви знайшли механізм, що відкриває двері!
Quest/&Tutorial_02_Quest_CautiousDescription	Використовуйте режим крадькома, щоб прокрастися повз орків і дізнатися, як відкрити двері. Якщо ви залишитесь на більш високій місцевості, вони вас не помітять.
Quest/&Tutorial_02_Quest_CautiousTitle	Прокрастися повз орків і активувати механізм
Quest/&Tutorial_02_Quest_FindExit_Outcome_Description	Ви знайшли табір орків!
Quest/&Tutorial_02_Quest_FindExitDescription	Відкрийте двері і продовжуйте дослідження. Але будьте обережні! Орки можуть бути поблизу.
Quest/&Tutorial_02_Quest_FindExitTitle	Досліджуйте далі
Quest/&Tutorial_02_Quest_FindLight_Outcome1Description	У вас є світло!
Quest/&Tutorial_02_Quest_FindLightDescription	Ви впали у темну печеру! Накладіть закляття-трик Світло або використайте факел, щоб бачити!
Quest/&Tutorial_02_Quest_FindLightTitle	Освітліть свій шлях
Quest/&Tutorial_02_Quest_FindWhereYouAre_Outcome1Description	Цей тотем є ознакою того, що ти знаходишся в небезпечному місці… будь обережний!
Quest/&Tutorial_02_Quest_FindWhereYouAreDescription	Оглянь тотем у центрі кімнати. Можливо, це дасть тобі підказку про те, де ти знаходишся.
Quest/&Tutorial_02_Quest_FindWhereYouAreTitle	Оглянь тотем
Quest/&Tutorial_02_Quest_HealYourself_Outcome1Description	Тебе вилікували!
Quest/&Tutorial_02_Quest_HealYourself_Outcome2Description	Ти вижив, не лікуючись.
Quest/&Tutorial_02_Quest_HealYourselfDescription	Ти серйозно поранений після падіння. Знайди спосіб відновити очки здоров'я: накласти закляття лікування, наприклад, «Лікування ран» або «Слово вилікування», чи знайти десь у печері зілля лікування.
Quest/&Tutorial_02_Quest_HealYourselfTitle	Використай зілля або закляття, щоб вилікувати свої рани!
Quest/&Tutorial_02_Quest_LightUpTorches_Outcome1Description	Ти запалив факели!
Quest/&Tutorial_02_Quest_LightUpTorchesDescription	Запали факел у дужках, взаємодіючи з ним, тримаючи свій власний факел.
Quest/&Tutorial_02_Quest_LightUpTorchesTitle	Запаліть два факели
Quest/&Tutorial_02_Quest_OpenDoor_Outcome1Description	Ви знайшли колесо, яке відкриває двері в коридор! Подивіться на це!
Quest/&Tutorial_02_Quest_OpenDoorDescription	Знайдіть спосіб відкрити двері в коридор.
Quest/&Tutorial_02_Quest_OpenDoorTitle	Відкрий двері
Quest/&Tutorial_02_Quest_RunAway_Outcome1Description	Ти втік з орківського сховища!
Quest/&Tutorial_02_Quest_RunAwayDescription	Знайди вихід і вийди з цієї печери!
Quest/&Tutorial_02_Quest_RunAwayTitle	Втеча з орківського сховища
Quest/&Tutorial_02_Quest_Traverse_Outcome1Description	Ви досягли таємної печери! Знайдіть шлях назовні!
Quest/&Tutorial_02_Quest_TraverseDescription	За дверима знаходиться підземна річка. Знайдіть шлях через неї!
Quest/&Tutorial_02_Quest_TraverseTitle	Перетнути річку
Quest/&Tutorial_02_Quest_Wait_Outcome1Description	Орків немає! Втікай звідси!
Quest/&Tutorial_02_Quest_WaitDescription	Зробіть довгий відпочинок, щоб чекати до ночі, а потім втікайте, поки орків немає.
Quest/&Tutorial_02_Quest_WaitTitle	Чекайте, поки орки підуть
Quest/&Tutorial_02_Title	Покинути печеру
Quest/&Tutorial_03_Quest_Enter the fort_Outcome1Description	Ви увійшли до фортеці лихварів! Дійте обережно!
Quest/&Tutorial_03_Quest_Enter the fortDescription	Використовуйте режим крадькома, щоб знайти сліди, які ведуть до слабкого місця у стіні. Потім увійдіть до форту, проповзши через отвір, якщо це необхідно. Під час проходження ви можете підібрати зловмисницькі інструменти, які Лайам залишив біля стіни форту.
Quest/&Tutorial_03_Quest_Enter the fortTitle	Увійдіть до форту
Quest/&Tutorial_03_Quest_EnterRoom_Outcome1Description	Ви відкрили скарбницю!
Quest/&Tutorial_03_Quest_EnterRoomDescription	Використайте ключ кваттермайстера або відчиніть замок.
Quest/&Tutorial_03_Quest_EnterRoomTitle	Ввійдіть до скарбниці
Quest/&Tutorial_03_Quest_EscapeFort_Outcome1Description	Ви врятували Ліама та повернули меч його родини!
Quest/&Tutorial_03_Quest_EscapeFort2Title	Втеча з форту
Quest/&Tutorial_03_Quest_EscapeFortDescription	Залишайтеся в режимі крадькома та повертайтесь назад, поки не вийдете через стіну форту.
Quest/&Tutorial_03_Quest_EscapeFortTitle	Втеча з форту
Quest/&Tutorial_03_Quest_Find the treasure room_Outcome1Description	Ви знешкодили пастку на підлозі!
Quest/&Tutorial_03_Quest_Find the treasure roomDescription	Піднімайтеся через вікно і перевірте місце на наявність пасток, залишаючись у режимі крадькома. Знешкодьте будь-яку пастку, яку знайдете.
Quest/&Tutorial_03_Quest_Find the treasure roomTitle	Знайдіть скарбницю
Quest/&Tutorial_03_Quest_GetSword_Outcome1Description	Ти повернув коштовність Ліама! Відстежи свій шлях і втеки!
Quest/&Tutorial_03_Quest_GetSwordDescription	Залишайся у режимі крадькома, щоб виявити пастку на скрині, знешкодити її та відкрити замок. Відкрий скриню і возьми меч.
Quest/&Tutorial_03_Quest_GetSwordTitle	Отримати коштовність Ліама
Quest/&Tutorial_03_Quest_PickDoor_Outcome1Description	Ви відкрили двері.
Quest/&Tutorial_03_Quest_PickDoorDescription	Підійдіть до закритих дверей і відчиніть замок. Для цього потрібні зловмисницькі інструменти.
Quest/&Tutorial_03_Quest_PickDoorTitle	Дійдіть до наступного двору
Quest/&Tutorial_03_Quest_SaveLiam_Outcome1Description	Ви врятували Ліама! Тепер вийдіть з фортеці та зустріться з ним назовні.
Quest/&Tutorial_03_Quest_SaveLiam_Outcome2Description	Ви не вдалися врятувати Ліама!
Quest/&Tutorial_03_Quest_SaveLiamDescription	Ліама схопив лихвар, і він бореться за своє життя! Використовуйте свій вигідний пункт для стрільби по лихвару!
Quest/&Tutorial_03_Quest_SaveLiamTitle	Вбий кредитора та врятуй Ліама!
Quest/&Tutorial_03_Title	Поверни викрадений коштовний камінь
Quest/&Tutorial_04_Quest_CrossBridge_Outcome1Description	На вас нападає сірий вовк!
Quest/&Tutorial_04_Quest_CrossBridgeDescription	Ви вижили під час атаки! Тепер дістайтеся іншого боку природного мосту і втікайте звідси!
Quest/&Tutorial_04_Quest_CrossBridgeTitle	Дістаньтеся іншого боку мосту!
Quest/&Tutorial_04_Quest_EscapeJackals_Outcome1Description	Вас оточили вовки… готуйтеся до бою!
Quest/&Tutorial_04_Quest_EscapeJackalsDescription	Ривком вирвіся з лап вовків.
Quest/&Tutorial_04_Quest_EscapeJackalsTitle	Втеча від вовків
Quest/&Tutorial_04_Quest_Fleeing_Outcome1Description	Ці вовки загнали тебе в засідку!
Quest/&Tutorial_04_Quest_FleeingDescription	Біжи до іншого боку мосту!
Quest/&Tutorial_04_Quest_FleeingTitle	Втеча від вовків
Quest/&Tutorial_04_Quest_GetKeyQuestTitle	Ключ до скарбниці
Quest/&Tutorial_04_Quest_KillAlphaJackal_Outcome1Description	Ви вижили серого вовка.
Quest/&Tutorial_04_Quest_KillAlphaJackalDescription	Цей новий супротивник занадто сильний для вас! Відступити і негайно рушити, щоб відштовхнути скелю, зруйнувавши природний міст та позбутися серого вовка.
Quest/&Tutorial_04_Quest_KillAlphaJackalTitle	Відступити і відштовхнути скелю
Quest/&Tutorial_04_Quest_KillJackals_Outcome1Description	Ви вижили під час атаки!
Quest/&Tutorial_04_Quest_KillJackals_Outcome2Description	Ви спробували втекти від вовків!
Quest/&Tutorial_04_Quest_KillJackalsDescription	Переможіть вовків будь-якими засобами. Використовуйте дію штовхання, щоб стрибнути з них з мосту, і вбийте їх за один хід, перш ніж вони вас оточать.
Quest/&Tutorial_04_Quest_KillJackalsTitle	Позбавтеся вовків
Quest/&Tutorial_04_Secondary_Quest_GetKey_Outcome1Description	У вас є ключ від квартирмейстера, і тепер ви можете дістатися до скарбниці.
Quest/&Tutorial_04_Secondary_Quest_GetKey_Outcome2Description	Ви відкрили замок на дверях скарбниці замість того, щоб вкрасти ключ від квартирмейстера.
Quest/&Tutorial_04_Title	Перейти міст
Quest/&Caer_Lem_Quest_06_2_FightTitle	Бій!
Quest/&Caer_Lem_Quest_06_2_FightDescription	Захищайтеся від вбивчої істоти!
Quest/&Caer_Lem_Quest_06_2_Fight_Outcome1Description	На вас напав справжній Сорак! Ви його вбили та втекли разом із вижившими з гарнізону.
Quest/&Tower_Of_Magic_Quest_01_b_FightTitle	Бій!
Quest/&Tower_Of_Magic_Quest_01_b_FightDescription	Захищайтеся від фанатиків.
Quest/&Tower_Of_Magic_Quest_01_b_Fight_Outcome1Description	Ви підійшли до, здавалося б, мирних людей, але вони напали на вас без стримання.
Quest/&Tower_Of_Magic_Quest_00_StartTitle	Дослідити територію
Quest/&Tower_Of_Magic_Quest_00_StartDescription	Ви знайшли вежу, про яку вам розповідали. Будьте обережні та спробуйте знайти докази існування Сораків.
Quest/&Tower_Of_Magic_Quest_00_Start_Outcome1Description	Ви підійшли до руїн і побачили групу чоловіків та жінок, які стабілізували розкопки під вежею.
Quest/&Tower_Of_Magic_Quest_05_b_RunePuzzleOutcomeDescription	Ви вирішили головоломку з рун і відкрили вихід із цієї дивної бібліотеки.
Quest/&Tower_Of_Magic_Quest_05_b_RunePuzzleDescription	Ви знайшли пошкоджену колонну з рунами старих шкіл магії епохи Манакалона. Яскрава руна, здається, вигравіювана на землі. Можливо, це частина магічної головоломки для відкриття двері виходу.
Quest/&Tower_Of_Magic_Quest_05_b_RunePuzzleTitle	Головоломка з рун
Quest/&Tower_Of_Magic_Quest_05_FindAWayToOpen_Outcome2Description	Після деякого часу та битв ви знаходите щось цікаве.
Quest/&Tower_Of_Magic_Quest_Rune1Title	Активуйте першу руну
Quest/&Tower_Of_Magic_Quest_Rune1Description	Знайдіть і активуйте руну.
Quest/&Tower_Of_Magic_Quest_Rune1_Outcome1Description	Ви знайшли та активували руну.
Quest/&Tower_Of_Magic_Quest_Rune2Title	Активуйте другу руну
Quest/&Tower_Of_Magic_Quest_Rune2Description	Знайдіть і активуйте руну.
Quest/&Tower_Of_Magic_Quest_Rune2_Outcome1Description	Ви знайшли та активували руну.
Quest/&Tower_Of_Magic_Quest_Rune3Title	Активуйте третю руну
Quest/&Tower_Of_Magic_Quest_Rune3Description	Знайдіть і активуйте руну.
Quest/&Tower_Of_Magic_Quest_Rune3_Outcome1Description	Ви знайшли та активували руну.
Quest/&Tower_Of_Magic_Quest_Rune4Title	Активуйте четверту руну
Quest/&Tower_Of_Magic_Quest_Rune4Description	Знайдіть і активуйте руну.
Quest/&Tower_Of_Magic_Quest_Rune4_Outcome1Description	Ви знайшли та активували руну.
Quest/&Tower_Of_Magic_Quest_OrbeTitle	Активуйте сферу
Quest/&Tower_Of_Magic_Quest_OrbeDescription	Після того як ви запалили всі руни, ви побачили з'являється магічну сферу. Активуйте її.
Quest/&Tower_Of_Magic_Quest_Orbe_Outcome1Description	Після того як ви запалили всі руни, ви побачили з'являється магічну сферу. Ви активували її та відкрили шлях із бібліотеки!
Quest/&Abjuration_Quest_16_b_Teleporter_Outcome1Description	У секретній кімнаті в підвалі, поруч з речами Кітхеали, ви побачили величний двері у високоімперському стилі. За ними була невелика кімната, що містила Великі Ворота — одні з тих, про які вам говорили, що їх можна використовувати для телепортування аж до Кеар Кілфена, якщо ви знаєте правильне ключове слово.
Quest/&Abjuration_Quest_16_b_TeleporterDescription	У таємній кімнаті в підвалі, поруч з речами Кітхели, ви побачили величний двері у високоімперському стилі. Досліджить, що знаходиться по той бік.
Quest/&Abjuration_Quest_16_b_TeleporterTitle	Дослідити імператорські двері
Quest/&Cradle_Of_Fire_Quest_04_TalkToArbalTitle	Перемогти Арбала
Quest/&Cradle_Of_Fire_Quest_04_TalkToArbalDescription	Ви увійшли в вулкан і досягли воріт, які охороняє відомий оркський воїн на ім'я Арбал. Тепер вам потрібно пройти далі, а можливо, навіть без бою.
Quest/&Cradle_Of_Fire_Quest_04_TalkToArbal_Outcome1Description	Ви переконали воїна Арбала пропустити вас всередину вулкана.
Quest/&Cradle_Of_Fire_Quest_04_TalkToArbal_Outcome2Description	Ви коротко поговорили з Арбалом, але в результаті змушені були битися з ним і його орками.
